Employees,Admins,Assets,Disclose,Ransomware
1,1,1,1,1
10,10,10,2,2
50,50,100,5,5
100,100,250,10,10
1000,1000,500,15,15
5000,5000,1000,15,15
10000,10000,10000,20,20
